__sdc_row_number,cases,country,date,datetime,deaths,git_file_name,git_html_url,git_last_modified,git_owner,git_path,git_repository,git_sha,git_url,nuts_3,hospitalized,intensive_care,tests
1,21.0,CH,2020-04-07,2020-04-07T00:00:00Z,0.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Appenzell Innerrhoden,,,
10,185.0,CH,2020-04-07,2020-04-07T00:00:00Z,7.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Schwyz,,,
11,250.0,CH,2020-04-07,2020-04-07T00:00:00Z,8.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Thurgau,14.0,15.0,
12,264.0,CH,2020-04-07,2020-04-07T00:00:00Z,3.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Solothurn,29.0,,
13,503.0,CH,2020-04-07,2020-04-07T00:00:00Z,9.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Lucerne,21.0,6.0,
14,509.0,CH,2020-04-07,2020-04-07T00:00:00Z,40.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Neuchâtel,54.0,10.0,
15,620.0,CH,2020-04-07,2020-04-07T00:00:00Z,13.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,St. Gallen,56.0,9.0,
16,684.0,CH,2020-04-07,2020-04-07T00:00:00Z,35.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Grisons,41.0,8.0,
17,732.0,CH,2020-04-07,2020-04-07T00:00:00Z,44.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Fribourg,56.0,22.0,
18,754.0,CH,2020-04-07,2020-04-07T00:00:00Z,20.0,ch_covid19_2020-04-07_0_00.csv,https://github.com/covid19-eu-zh/covid19-eu-data/blob/fde92dbaee3ac17d2d7768d80d67d5ff5863138a/dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,2021-09-28T13:00:14Z,covid19-eu-zh,dataset/daily/ch/ch_covid19_2020-04-07_0_00.csv,covid19-eu-data,ffa3c56eef391c849628a8e61f94f26985ed77b1,https://api.github.com/repositories/244987370/git/blobs/ffa3c56eef391c849628a8e61f94f26985ed77b1,Basel-Landschaft,15.0,18.0,
