Z,Name,Symbol,Mass of Atom (u),Abundance
1,Hydrogen,1H,1.007825,99.9885
1,Hydrogen,2H,2.014102,0.0115
1,Hydrogen,3H,3.016049,*
2,Helium,3He,3.016029,0.0001374
2,Helium,He,4.002603,99.9998633
3,Lithium,6Li,6.015122,7.59
3,Lithium,7Li,7.016004,92.41
4,Beryllium,9Be,9.012182,100
5,Boron,10B,10.012937,19.9
5,Boron,11B,11.009305,80.1
6,Carbon,12C,12.000000,98.93
6,Carbon,13C,13.003355,1.07
6,Carbon,14C,14.003242,*
7,Nitrogen,14N,14.003074,99.632
7,Nitrogen,15N,15.000109,0.368
8,Oxygen,16O,15.994915,99.757
8,Oxygen,17O,16.999132,0.038
8,Oxygen,18O,17.999160,0.205
9,Fluorine,19F,18.998403,100
10,Neon,20Ne,19.992440,90.48
10,Neon,21Ne,20.993847,0.27
10,Neon,22Ne,21.991386,9.25
11,Sodium,23Na,22.989770,100
12,Magnesium,24Mg,23.985042,78.99
12,Magnesium,25Mg,24.985837,10.00
12,Magnesium,26Mg,25.982593,11.01
13,Aluminum,27Al,26.981538,100
14,Silicon,28Si,27.976927,92.2297
14,Silicon,29Si,28.976495,4.6832
14,Silicon,30Si,29.973770,3.0872
15,Phosphorus,31P,30.973762,100
16,Sulphur,32S,31.972071,94.93
16,Sulphur,33S,32.971458,0.76
16,Sulphur,34S,33.967867,4.29
16,Sulphur,36S,35.967081,0.02
17,Chlorine,35Cl,34.968853,75.78
17,Chlorine,37Cl,36.965903,24.22
18,Argon,36Ar,35.967546,0.3365
18,Argon,38Ar,37.962732,0.0632
18,Argon,40Ar,39.962383,99.6003
19,Potassium,39K,38.963707,93.2581
19,Potassium,40K,39.963999,0.0117
19,Potassium,41K,40.961826,6.7302
20,Calcium,40Ca,39.962591,96.941
20,Calcium,42Ca,41.958618,0.647
20,Calcium,43Ca,42.958767,0.135
20,Calcium,44Ca,43.955481,2.086
20,Calcium,46Ca,45.953693,0.004
20,Calcium,48Ca,47.952534,0.187
21,Scandium,45Sc,44.955910,100
22,Titanium,46Ti,45.952629,8.25
22,Titanium,47Ti,46.951764,7.44
22,Titanium,48Ti,47.947947,73.72
22,Titanium,49Ti,48.947871,5.41
22,Titanium,50Ti,49.944792,5.18
23,Vanadium,50V,49.947163,0.250
23,Vanadium,51V,50.943964,99.750
24,Chromium,50Cr,49.946050,4.345
24,Chromium,52Cr,51.940512,83.789
24,Chromium,53Cr,52.940654,9.501
24,Chromium,54Cr,53.938885,2.365
25,Manganese,55Mn,54.938050,100
26,Iron,54Fe,53.939615,5.845
26,Iron,56Fe,55.934942,91.754
26,Iron,57Fe,56.935399,2.119
26,Iron,58Fe,57.933280,0.282
27,Cobalt,59Co,58.933200,100
28,Nickel,58Ni,57.935348,68.0769
28,Nickel,60Ni,59.930791,26.2231
28,Nickel,61Ni,60.931060,1.1399
28,Nickel,62Ni,61.928349,3.6345
28,Nickel,64Ni,63.927970,0.9256
29,Copper,63Cu,62.929601,69.17
29,Copper,65Cu,64.927794,30.83
30,Zinc,64Zn,63.929147,48.63
30,Zinc,66Zn,65.926037,27.90
30,Zinc,67Zn,66.927131,4.10
30,Zinc,68Zn,67.924848,18.75
30,Zinc,70Zn,69.925325,0.62
31,Gallium,69Ga,68.925581,60.108
31,Gallium,71Ga,70.924705,39.892
32,Germanium,70Ge,69.924250,20.84
32,Germanium,72Ge,71.922076,27.54
32,Germanium,73Ge,72.923459,7.73
32,Germanium,74Ge,73.921178,36.28
32,Germanium,76Ge,75.921403,7.61
33,Arsenic,75As,74.921596,100
34,Selenium,74Se,73.922477,0.89
34,Selenium,76Se,75.919214,9.37
34,Selenium,77Se,76.919915,7.63
34,Selenium,78Se,77.917310,23.77
34,Selenium,80Se,79.916522,49.61
34,Selenium,82Se,81.916700,8.73
35,Bromine,79Br,78.918338,50.69
35,Bromine,81Br,80.916291,49.31
