country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ARG,Argentina,ATUCHA I,ARG0000029,370.0,-33.9670,-59.2059,Nuclear,,,,1974.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,1013180,2015,,,,,,,,,,,,,1303.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ARG,Argentina,ATUCHA II,ARG0000030,745.0,-33.9674,-59.2045,Nuclear,,,,2014.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,1101851,2015,,,,,,,,,,,,,2625.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ARG,Argentina,EMBALSE,ARG0000112,648.0,-32.2316,-64.4422,Nuclear,,,,1984.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,1013181,2015,,,,,,,,,,,,,2283.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ARM,Armenia,Armenian-2,WRI1019028,375.0,40.1805,44.1498,Nuclear,,,,1980.0,Armenian Nuclear Power Company,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2,GEODB,1010334,,,,,,,,,,,,,,2411.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
AUS,Australia,Mortons Lane Wind Farm,AUS0000492,20.0,-37.8413,142.4653,Wind,,,,,China Guangdong Nuclear Wind Energy Company,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,,33.20027777777778,68.94027777777778,62.304722222222225,61.166666666666664,60.945277777777775,64.5575,,Australia Clean Energy Regulator,,,,,52.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BEL,Belgium,DOEL 4,WRI1002223,2910.0,51.3254,4.2597,Nuclear,,,,1985.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,1014413,,,,11719.536,22325.129,20680.324,,,JRC-PPDB-OPEN,,,,,20203.97,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BEL,Belgium,TIHANGE 1N,WRI1002275,962.0,50.5342,5.2751,Nuclear,,,,1975.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,1014440,,,,3035.773,1344.215,1775.314,,,JRC-PPDB-OPEN,,,,,6679.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BEL,Belgium,TIHANGE 3,WRI1002277,2053.8,50.5342,5.2751,Nuclear,,,,1985.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,1014440,,,,,17406.991,17895.761,,,JRC-PPDB-OPEN,,,,,14259.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA,Brazil,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA0000100,640.0,-23.0087,-44.4574,Nuclear,,,,1985,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017,,,,,,,,,,,,,4885.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BRA,Brazil,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA0000101,1350.0,-23.0072,-44.4588,Nuclear,,,,2000,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),,2017,,,,,,,,,,,,,10304.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
BGR,Bulgaria,KOZLODUY,WRI1008053,2000.0,43.7438,23.7723,Nuclear,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,1023679,,,,15380.788,,,,,JRC-PPDB-OPEN,,,,,15544.99,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Bruce A,CAN0002030,3220.0,44.3391,-81.5747,Nuclear,,,,,Bruce Power LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,,2017,,,,,,,,,,,,,22424.45,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Bruce B,CAN0002031,3390.0,44.3190,-81.6027,Nuclear,,,,,Bruce Power LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28966,2017,,,,,,,,,,,,,23608.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Darlington,CAN0002043,3740.0,43.8697,-78.7239,Nuclear,,,,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,28977,2017,,,,,,,,,,,,,26045.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Pickering A,CAN0002073,1084.0,43.8107,-79.0689,Nuclear,,,,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,29018,2017,,,,,,,,,,,,,7549.10,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Pickering B,CAN0002074,2160.0,43.8096,-79.0639,Nuclear,,,,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,64093,2017,,,,,,,,,,,,,15042.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CAN,Canada,Point Lepreau,CAN0002076,660.0,45.0686,-66.4543,Nuclear,,,,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,27406,2017,,,,,,,,,,,,,4596.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
